param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
8,1,10,833237.3082317067,73667.55065754503,579041.7175329513,147
9,2,15,835416.9538978254,65490.348872398776,586063.6334117724,148
15,1,20,839455.4957961196,74363.48305199336,580216.8197469965,149
8,2,8,841177.0401059643,75671.55529633992,560946.0657537287,150
9,5,10,845020.5496201006,81653.88048303954,592666.3940412201,151
9,5,8,845020.5496201006,81653.88048303954,592666.3940412201,151
9,5,4,845020.5496201006,81653.88048303954,592666.3940412201,151
9,5,2,845020.5496201006,81653.88048303954,592666.3940412201,151
9,5,5,845020.5496201006,81653.88048303954,592666.3940412201,151
8,3,8,846721.1278401951,87268.8936573635,575391.3967340675,156
,1,20,846774.3801340874,85244.22846930382,578591.1192208441,157
20,1,20,846774.3801340874,85244.22846930382,578591.1192208441,157
10,5,15,846982.9929053772,63705.23936299894,608884.6010679059,159
8,2,10,847225.0995758411,73146.88511861926,596587.2730792828,160
8,3,10,849248.0802013061,89110.04252827162,603629.721588303,161
9,1,15,850280.2003020283,52718.49925452339,580260.9280275754,162
12,1,20,855157.0023473144,82860.63677116061,589504.0584909319,163
7,1,4,855460.7858463104,80130.55569636331,575075.4370793868,164
20,2,20,858638.1331324648,82629.40469848058,593891.1742436081,165
,2,20,858638.1331324648,82629.40469848058,593891.1742436081,165
7,1,5,859145.482497446,71491.57671705725,594899.8584077696,167
15,2,20,859752.724848245,82085.19759454754,595438.6901326155,168
20,3,20,866935.6082974735,60529.25049453886,617655.7571616077,169
,3,20,866935.6082974735,60529.25049453886,617655.7571616077,169
15,3,20,867277.7468630706,60940.48879461405,618380.430588857,171
12,2,20,867342.2153149648,78166.12454516072,604172.2744634079,172
9,5,15,871760.7092340939,80465.03696883417,638799.268737027,173
8,3,15,872068.2276059162,75077.05260185598,659370.8445279843,174
12,3,20,872942.4459046312,59951.59267206832,625747.4567916727,175
15,8,15,875637.910075906,54670.30313302989,681406.41626942,176
15,8,10,875637.910075906,54670.30313302989,681406.41626942,176
