param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
10,20,20,1062129.077551998,70842.9954520986,978545.8893454082,423
12,20,2,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,10,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,5,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,4,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,15,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,8,1062539.869631206,70990.06006451456,978608.2037018439,430
12,20,20,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,20,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,8,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,15,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,20,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,10,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,2,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,4,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,5,1062539.869631206,70990.06006451456,978608.2037018439,430
15,20,8,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,15,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,10,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,15,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,10,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,8,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,2,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,2,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,5,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,4,1062539.869631206,70990.06006451456,978608.2037018439,430
,20,20,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,4,1062539.869631206,70990.06006451456,978608.2037018439,430
20,20,5,1062539.869631206,70990.06006451456,978608.2037018439,430
9,20,5,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,8,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,15,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,10,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,4,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,20,1064341.2185255114,68165.67629289409,979864.507502092,458
9,20,2,1064341.2185255114,68165.67629289409,979864.507502092,458
8,20,10,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,2,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,4,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,5,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,8,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,20,1069679.559381246,67081.8162695172,984728.8540684705,465
8,20,15,1069679.559381246,67081.8162695172,984728.8540684705,465
7,20,8,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,2,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,15,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,10,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,4,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,5,1081782.8333975552,62172.0334625297,1006354.447778979,472
7,20,20,1081782.8333975552,62172.0334625297,1006354.447778979,472
6,1,20,1093034.8125682995,73049.3540335576,917209.8378351973,479
5,1,2,1097824.8443515566,52920.34360037242,911984.1909939809,480
6,3,20,1098019.1684710295,75309.86332447187,924047.1652532846,481
6,8,20,1098069.3527676088,66806.74837344415,941037.6462648499,482
6,2,20,1099383.3594576758,71912.883867233,919790.7756769409,483
5,1,4,1100003.0621733386,52266.12792990142,912446.2371986015,484
6,10,20,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,8,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,10,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,5,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,4,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,15,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,10,2,1100318.8646118268,65366.0013045307,964781.4651842711,485
6,15,2,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,10,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,15,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,8,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,4,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,5,1104046.9622818427,72783.14750031146,1014379.3499832939,492
6,15,20,1104046.9622818427,72783.14750031146,1014379.3499832939,492
5,1,5,1105291.8410512267,45287.73942520227,915511.4187167533,499
5,1,8,1105441.2988541494,38443.920148977224,924967.8072127458,500
5,3,4,1113937.2023540447,40233.35634949032,942545.3123580221,501
5,3,5,1113937.2023540447,40233.35634949032,942545.3123580221,501
5,3,2,1113937.2023540447,40233.35634949032,942545.3123580221,501
6,5,20,1115775.6939768896,57011.16443000762,937301.5804368695,504
5,2,8,1115961.8009043545,41750.63542808556,935197.9275462078,505
5,3,8,1116643.4729811072,42428.74574576458,943227.1841166265,506
5,2,5,1117115.9734644678,31415.16052786994,928002.2651228225,507
5,2,4,1118279.3398011015,28259.439831851836,926368.6017564858,508
5,2,2,1118279.3398011015,28259.439831851836,926368.6017564858,508
5,1,10,1120461.808047926,57859.027301787406,947252.2249402327,510
5,2,10,1123955.3574028616,55787.57404574665,953760.0444721859,511
5,3,10,1123982.8569195012,55764.986246788714,959279.5768559005,512
6,20,2,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,5,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,10,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,8,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,20,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,15,1127248.768865703,55114.24720521079,1055273.4159139735,513
6,20,4,1127248.768865703,55114.24720521079,1055273.4159139735,513
5,3,15,1135592.2332417488,37865.71065595983,997209.3423599234,520
5,2,15,1136059.78323006,38221.04700226313,992642.7802732385,521
5,5,8,1151580.632427149,65713.89846474846,984781.3949812911,522
5,5,4,1151580.632427149,65713.89846474846,984781.3949812911,522
5,5,10,1151580.632427149,65713.89846474846,984781.3949812911,522
5,5,5,1151580.632427149,65713.89846474846,984781.3949812911,522
5,5,2,1151580.632427149,65713.89846474846,984781.3949812911,522
5,1,15,1162053.2682928517,40294.954605755775,994791.6165854413,527
5,5,15,1163655.755324054,47624.68491189804,1009228.1211099481,528
5,8,5,1170995.9468493252,25779.34585531503,1045109.8466618026,529
5,8,4,1170995.9468493252,25779.34585531503,1045109.8466618026,529
5,8,10,1170995.9468493252,25779.34585531503,1045109.8466618026,529
5,8,15,1170995.9468493252,25779.34585531503,1045109.8466618026,529
5,8,2,1170995.9468493252,25779.34585531503,1045109.8466618026,529
5,8,8,1170995.9468493252,25779.34585531503,1045109.8466618026,529
4,2,5,1192847.619104977,40068.326548010766,1096663.1149879475,535
4,2,8,1192847.619104977,40068.326548010766,1096663.1149879475,535
4,2,4,1192847.619104977,40068.326548010766,1096663.1149879475,535
4,2,2,1192847.619104977,40068.326548010766,1096663.1149879475,535
4,3,4,1193497.9321315275,39444.486922681586,1101594.7865409062,539
4,3,8,1193497.9321315275,39444.486922681586,1101594.7865409062,539
4,3,5,1193497.9321315275,39444.486922681586,1101594.7865409062,539
4,3,2,1193497.9321315275,39444.486922681586,1101594.7865409062,539
5,1,20,1206277.1969993005,69680.74176870771,1046804.4550389571,543
5,3,20,1206545.620608349,69496.56266767804,1053578.937917721,544
5,2,20,1207013.17059666,69177.83345641717,1049012.3758310364,545
5,15,8,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,10,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,15,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,20,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,4,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,5,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,15,2,1208463.4611508264,80953.86698868901,1127514.8476578402,546
5,8,20,1209788.5931418184,73708.97111667696,1071758.2491181474,553
4,3,10,1212164.5987981942,59147.16406256125,1116956.1726795197,554
4,2,10,1212168.4583317568,59147.917339450425,1113946.354026137,555
5,10,8,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,20,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,4,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,2,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,5,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,15,1214349.9642123498,70934.2283392698,1099180.6386333765,556
5,10,10,1214349.9642123498,70934.2283392698,1099180.6386333765,556
4,5,4,1218206.7063873312,63880.86473343969,1122756.5143690943,563
4,5,5,1218206.7063873312,63880.86473343969,1122756.5143690943,563
4,5,10,1218206.7063873312,63880.86473343969,1122756.5143690943,563
4,5,2,1218206.7063873312,63880.86473343969,1122756.5143690943,563
4,5,8,1218206.7063873312,63880.86473343969,1122756.5143690943,563
4,1,2,1219198.8586932211,35184.23773826699,1103927.44409943,568
4,1,4,1219198.8586932211,35184.23773826699,1103927.44409943,568
4,1,5,1219198.8586932211,35184.23773826699,1103927.44409943,568
4,1,8,1219198.8586932211,35184.23773826699,1103927.44409943,568
5,20,2,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,5,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,15,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,20,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,10,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,8,1222616.4284052823,59036.87215162188,1162452.952749154,572
5,20,4,1222616.4284052823,59036.87215162188,1162452.952749154,572
4,3,15,1223118.394177732,51512.57362137835,1138750.6092660357,579
4,2,15,1223122.2537112946,51512.54118728401,1135740.790612653,580
4,5,15,1225943.161282821,51587.85481341797,1140192.8651470295,581
5,5,20,1230423.6491412998,65542.50898458701,1064282.2726233415,582
4,1,10,1238519.697920001,54202.52750492898,1121210.6831376194,583
4,1,15,1249678.1137615852,38793.0027599044,1139444.0636185247,584
4,8,4,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,8,8,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,8,15,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,8,10,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,8,2,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,8,5,1254095.2789945921,37275.315201461504,1166284.7292441535,585
4,20,4,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,2,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,5,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,20,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,8,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,10,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,20,15,1284444.6306229024,69811.17047515852,1247453.4521635491,591
4,15,2,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,20,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,4,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,5,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,15,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,10,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,15,8,1287464.5193475902,92534.61519586781,1221248.885034073,598
4,1,20,1293285.2932931166,80677.90041538634,1189503.4750329081,605
4,5,20,1293435.0650010568,80545.69576111223,1193467.2694892767,606
4,3,20,1293455.032369415,80528.13818798774,1193166.777784701,607
4,2,20,1293458.8919029776,80524.74629122285,1190156.959131318,608
4,8,20,1294123.4863431908,79949.64474699441,1192664.9798853165,609
4,10,10,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,15,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,20,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,8,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,2,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,4,1296595.721066663,78031.63592434781,1210548.5682441522,610
4,10,5,1296595.721066663,78031.63592434781,1210548.5682441522,610
